event_id,datetime_utc,date_utc,year,month,centroid_lon,centroid_lat,area_km2,n_pixels,max_z,mean_z,max_delta,mean_delta,artifact_likely,corr_albedo,nearest_source_type,nearest_source_distance_km,matched_schuit_150km,matched_mars_150km,algorithm_version,config_id,params_hash,run_id,aoi_boundary,artifact_likely_albedo_positive,build_date,cluster_id,cluster_overlap_snow_fraction,count,enrichment_method,enrichment_stage,event_class,inside_reference_clean_zone,intermediate_asset,nearest_source_id,orbit_date_millis,plume_axis_deg,qa_flags,rna_version,stage_2_run_date,stage_3_match_radius_km,stage_3_run_date,stage_3b_rescope_date,surface_confounded_dark,td0044_reclassified,wind_alignment_score,wind_consistency_diff_deg,wind_consistent,wind_dir_deg,wind_level,wind_levels_inconsistent_qa,wind_source,wind_speed,wind_state,wind_u,wind_u_850hPa,wind_v,wind_v_850hPa,zone_boundary_step_ppb
CH4-WSP-011,2019-07-02T07:03:29Z,2019-07-02,2019,7,74.98573410888432,60.71435302849509,341.15474416415725,7,6.876130927220563,4.88570968893245,8.578248069567508,4.65462531699683,1,0.5393591049462169,viirs_flare_high,23.65369696497716,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,1,2026-05-23,1906965479541,0,7,numpy_eigh_with_cos_lat,axis_v1,CH4_only,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,viirs_0385,1562051009000,18.428158060266213,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,0,,0.6927093048080931,2.774051566482626,1,350.7719954929946,10m,0,ERA5_HOURLY_10m,2.6849883432396653,aligned,-2.6502392292022705,-6.16192626953125,0.43057453632354736,1.3099889755249023,
CH4-WSP-012,2019-07-02T07:03:29Z,2019-07-02,2019,7,78.1659419066768,66.44342014493618,243.07438672618025,5,3.7274656439506915,3.3634890532155857,28.169710590507293,14.497917645406506,0,-0.7727243798679576,viirs_flare_high,19.68950237969764,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,0,2026-05-23,1563368095819,0,5,numpy_eigh_with_cos_lat,axis_v1,wind_ambiguous,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,viirs_0103,1562051009000,172.62559822084364,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,1,,0.3235413794834048,30.447494528118057,0,291.7443223743501,10m,0,ERA5_HOURLY_10m,4.050321969470294,misaligned,-1.5005041360855103,0.08806991577148438,3.7621264457702637,0.5753264427185059,
CH4-WSP-013,2019-07-02T07:03:29Z,2019-07-02,2019,7,79.41438799122395,65.89396646560958,243.4078385931502,5,3.6098112223114183,3.2328808817300647,18.035091144196713,12.83842077294405,1,0.5106671986022991,viirs_flare_high,20.621701887941008,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,1,2026-05-23,1610612736069,0,5,numpy_eigh_with_cos_lat,axis_v1,CH4_only,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,viirs_0190,1562051009000,145.28195400047247,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,0,,0.8975650992614034,68.66282472869659,1,334.50109506694616,10m,1,ERA5_HOURLY_10m,2.372047613846676,aligned,-2.1409947872161865,-1.1842823028564453,1.0211519002914429,-1.1107125282287598,
CH4-WSP-014,2019-07-02T07:03:29Z,2019-07-02,2019,7,82.82463143300845,67.72196457369267,486.848886323074,10,6.640478120121972,5.238991100017094,36.871200980617914,27.691897976678618,0,0.44492954170840493,viirs_flare_high,23.028238401525435,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,0,2026-05-23,1498943586346,0,10,numpy_eigh_with_cos_lat,axis_v1,CH4_only,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,viirs_0144,1562051009000,37.55592667934274,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,0,,0.47303481270664505,117.75521440941964,,350.1290598229408,10m,1,ERA5_HOURLY_10m,1.427874897055964,insufficient_wind,-1.406737208366394,1.4528369903564453,0.2447797954082489,-4.502294540405273,
CH4-WSP-015,2019-07-20T06:24:41Z,2019-07-20,2019,7,77.59584921475214,66.39225151712421,243.51057200792368,5,5.583606619400302,4.563318385822492,34.924266277401784,26.26573179575012,0,-0.42599990946439,gas_field,29.17015567106305,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,0,2026-05-23,1563368095823,0,5,numpy_eigh_with_cos_lat,axis_v1,wind_ambiguous,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,ru_yanao_zapolyarnoe,1563603881000,73.66570362453415,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,0,,0.5425087170092304,39.215949942813495,0,294.83991909370343,10m,0,ERA5_HOURLY_10m,5.619685155165419,misaligned,-2.3607423305511475,-1.5738773345947266,5.099780082702637,0.7657324075698853,
CH4-WSP-016,2019-08-06T06:04:40Z,2019-08-06,2019,8,77.49251787740322,65.39203912720725,292.1512469706208,6,5.742889508784447,3.9443688735658404,16.41321373370988,10.762021973286704,0,0.02205096529668979,viirs_flare_high,37.60116182280453,0,0,2.3.2,default_combine,d98a789c5e179d12e49e7df613db1b9655a8203f84fa7900a8de69ead5947285,default_combine_2019_combined_d98a789c,zapsib,0,2026-05-23,1636382539858,0,6,numpy_eigh_with_cos_lat,axis_v1,wind_ambiguous,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2019_intermediate,viirs_0203,1565071480000,122.70687069137037,,1.2,2026-05-23T02:59:45.045830+00:00,150,2026-05-23,2026-06-20,0,,0.3542846572726006,42.46272448614769,0,244.59248984590442,10m,0,ERA5_HOURLY_10m,4.5451019816280365,misaligned,1.950092077255249,7.199337005615234,4.105495452880859,2.9277052879333496,
CH4-WSP-017,2020-07-01T06:19:25Z,2020-07-01,2020,7,76.6518670199375,59.01096670890626,877.2068410418581,13,0,0,8.568898464718131,7.411811284180935,0,-0.41007692706481774,viirs_flare_high,29.273449410890887,0,0,2.3.2,default_combine,4ace2be260ce67383dfa5792df09e077534fab0f6532f2b15f8cd397e72b8485,default_combine_2020_combined_4ace2be2,zapsib,0,2026-05-23,2035814498414,0,18,numpy_eigh_with_cos_lat,axis_v1,CH4_only,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2020_intermediate,viirs_0446,1593584365000,130.45584199096757,,1.2,2026-05-23T02:59:55.375818+00:00,150,2026-05-23,2026-06-20,0,,0.9294297668895299,8.466060715499907,1,316.80716297090987,10m,0,ERA5_HOURLY_10m,4.106452088895944,aligned,-2.993826150894165,-6.92308235168457,2.810685634613037,8.753225326538086,
CH4-WSP-018,2020-07-10T06:50:47Z,2020-07-10,2020,7,70.50688371172488,66.20848525643106,243.59178287514175,5,5.979415803316026,3.778287747126049,10.543501264774704,1.1601968474789348,0,0,viirs_flare_high,21.879945569519514,0,0,2.3.2,default_combine,4ace2be260ce67383dfa5792df09e077534fab0f6532f2b15f8cd397e72b8485,default_combine_2020_combined_4ace2be2,zapsib,0,2026-05-23,1524713390204,0,5,numpy_eigh_with_cos_lat,axis_v1,CH4_only,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2020_intermediate,viirs_0033,1594363847000,108.06750162651016,,1.2,2026-05-23T02:59:55.375818+00:00,150,2026-05-23,2026-06-20,0,,0.9683294515285427,24.92650382913905,1,105.217152264079,10m,0,ERA5_HOURLY_10m,4.728104856944405,aligned,1.2410237789154053,-1.7384700775146484,-4.562327861785889,-10.160483360290527,
CH4-WSP-019,2020-07-10T06:50:47Z,2020-07-10,2020,7,74.79899722637253,67.53713624582187,291.9530166752999,6,4.904176134917493,4.183067680053424,21.730447580487635,8.504384513258596,0,-0.3896070285386487,gas_field,29.105872309639697,0,0,2.3.2,default_combine,4ace2be260ce67383dfa5792df09e077534fab0f6532f2b15f8cd397e72b8485,default_combine_2020_combined_4ace2be2,zapsib,0,2026-05-23,1468878815323,0,6,numpy_eigh_with_cos_lat,axis_v1,wind_ambiguous,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2020_intermediate,ru_yanao_yamburgskoe,1594363847000,35.34755915061304,,1.2,2026-05-23T02:59:55.375818+00:00,150,2026-05-23,2026-06-20,0,,0.41693102289871575,27.512257460732542,0,87.82376708972862,10m,0,ERA5_HOURLY_10m,7.695549486001261,misaligned,-0.2922253906726837,-6.986045837402344,-7.689999103546143,-12.253561019897461,
CH4-WSP-020,2020-07-10T06:50:47Z,2020-07-10,2020,7,75.0480773846577,67.00056624102372,389.3107376071336,8,8.724209480545108,6.233548434200661,24.53735024042703,9.492066499736783,0,-0.21348826241499722,viirs_flare_high,22.01756183109922,0,0,2.3.2,default_combine,4ace2be260ce67383dfa5792df09e077534fab0f6532f2b15f8cd397e72b8485,default_combine_2020_combined_4ace2be2,zapsib,0,2026-05-23,1503238553693,0,8,numpy_eigh_with_cos_lat,axis_v1,wind_ambiguous,0,projects/nodal-thunder-481307-u1/assets/RuPlumeScan/catalog/CH4/events_2020_intermediate,viirs_0048,1594363847000,172.56003189377898,,1.2,2026-05-23T02:59:55.375818+00:00,150,2026-05-23,2026-06-20,0,,0.010379385616220316,20.161830042770816,0,83.49417659923881,10m,0,ERA5_HOURLY_10m,8.17125524351369,misaligned,-0.925837516784668,-6.71307373046875,-8.118635177612305,-13.366254806518555,
